task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
5,32x2,experience_on,44,44,2,12,32,-0.37197786569595337,0.2635524570941925,False,False
5,32x2,experience_on,45,45,2,13,32,-0.3843785524368286,0.9086105227470398,False,False
5,32x2,experience_on,46,46,2,14,32,-0.3813507556915283,0.26831719279289246,False,False
5,32x2,experience_on,47,47,2,15,32,-0.38591569662094116,0.2817067801952362,False,False
5,32x2,experience_on,48,48,2,16,32,-0.3788183927536011,0.21059292554855347,False,False
5,32x2,experience_on,49,49,2,17,32,-0.3804275095462799,1.7096666097640991,False,False
5,32x2,experience_on,50,50,2,18,32,-0.3900737166404724,0.15632633864879608,False,False
5,32x2,experience_on,51,51,2,19,32,-0.3865543007850647,0.15009064972400665,False,False
5,32x2,experience_on,52,52,2,20,32,-0.3690773546695709,1.2563260793685913,False,False
5,32x2,experience_on,53,53,2,21,32,-0.376791775226593,0.5748161673545837,False,False
5,32x2,experience_on,54,54,2,22,32,-0.39091992378234863,0.24050933122634888,False,False
5,32x2,experience_on,55,55,2,23,32,-0.39360272884368896,0.17242002487182617,False,False
5,32x2,experience_on,56,56,2,24,32,-0.3778601288795471,0.30341312289237976,False,False
5,32x2,experience_on,57,57,2,25,32,-0.38485974073410034,0.23100468516349792,False,False
5,32x2,experience_on,58,58,2,26,32,-0.3736472725868225,0.09451134502887726,False,False
5,32x2,experience_on,59,59,2,27,32,-0.3912431001663208,0.11079861968755722,False,False
5,32x2,experience_on,60,60,2,28,32,-0.3930051922798157,0.0826687291264534,False,False
5,32x2,experience_on,61,61,2,29,32,-0.39560553431510925,0.408290833234787,False,False
5,32x2,experience_on,62,62,2,30,32,-0.38903748989105225,0.2574242949485779,False,False
5,32x2,experience_on,63,63,2,31,32,-0.3875206410884857,0.08159277588129044,False,False
5,32x2,experience_on,64,64,2,32,32,-0.3871065378189087,0.04965171217918396,False,False
5,16x4,experience_on,1,1,1,1,0,-0.3784884810447693,0.16304133832454681,False,False
5,16x4,experience_on,2,2,1,2,0,-0.3841111660003662,0.3012964725494385,False,False
5,16x4,experience_on,3,3,1,3,0,-0.3839297890663147,0.41320133209228516,False,False
5,16x4,experience_on,4,4,1,4,0,-0.37303149700164795,0.23855191469192505,False,False
5,16x4,experience_on,5,5,1,5,0,-0.39026951789855957,0.16027185320854187,False,False
5,16x4,experience_on,6,6,1,6,0,-0.3918052911758423,0.1649269461631775,False,False
5,16x4,experience_on,7,7,1,7,0,-0.3872096538543701,0.33562469482421875,False,False
5,16x4,experience_on,8,8,1,8,0,-0.3912648558616638,0.03046875074505806,False,True
5,16x4,experience_on,9,9,1,9,0,-0.39768537878990173,0.0687718540430069,True,False
5,16x4,experience_on,10,10,1,10,0,-0.3743142783641815,0.308674156665802,False,False
5,16x4,experience_on,11,11,1,11,0,-0.37350285053253174,0.3963601291179657,False,False
5,16x4,experience_on,12,12,1,12,0,-0.38823580741882324,0.4546864926815033,False,False
5,16x4,experience_on,13,13,1,13,0,-0.38519567251205444,0.3606029152870178,False,False
5,16x4,experience_on,14,14,1,14,0,-0.3894919753074646,0.12727218866348267,False,False
5,16x4,experience_on,15,15,1,15,0,-0.3857601284980774,0.40160107612609863,False,False
5,16x4,experience_on,16,16,1,16,0,-0.3895658254623413,0.12598487734794617,False,False
5,16x4,experience_on,17,17,2,1,16,-0.3815042972564697,0.3387109637260437,False,False
5,16x4,experience_on,18,18,2,2,16,-0.3854791522026062,0.27820485830307007,False,False
5,16x4,experience_on,19,19,2,3,16,-0.3818305730819702,0.2259058952331543,False,False
5,16x4,experience_on,20,20,2,4,16,-0.3788720369338989,0.15313269197940826,False,False
5,16x4,experience_on,21,21,2,5,16,-0.37543705105781555,0.1436973512172699,False,False
5,16x4,experience_on,22,22,2,6,16,-0.3876771330833435,0.6759637594223022,False,False
5,16x4,experience_on,23,23,2,7,16,-0.38703882694244385,0.22147732973098755,False,False
5,16x4,experience_on,24,24,2,8,16,-0.3825557827949524,0.13332894444465637,False,False
5,16x4,experience_on,25,25,2,9,16,-0.37315213680267334,0.3336831033229828,False,False
5,16x4,experience_on,26,26,2,10,16,-0.38997891545295715,0.09116407483816147,False,False
5,16x4,experience_on,27,27,2,11,16,-0.385018527507782,0.2481544464826584,False,False
5,16x4,experience_on,28,28,2,12,16,-0.3795812726020813,0.09090183675289154,False,False
5,16x4,experience_on,29,29,2,13,16,-0.37036868929862976,0.11661025136709213,False,False
5,16x4,experience_on,30,30,2,14,16,-0.3881976008415222,0.28801429271698,False,False
5,16x4,experience_on,31,31,2,15,16,-0.3867713212966919,1.1344400644302368,False,False
5,16x4,experience_on,32,32,2,16,16,-0.39116957783699036,0.2116888165473938,False,False
5,16x4,experience_on,33,33,3,1,32,-0.39289116859436035,0.1812814474105835,False,False
5,16x4,experience_on,34,34,3,2,32,-0.38011080026626587,0.22755329310894012,False,False
5,16x4,experience_on,35,35,3,3,32,-0.3889864981174469,0.20110875368118286,False,False
5,16x4,experience_on,36,36,3,4,32,-0.3780200779438019,0.3104135990142822,False,False
